school_id,name,minutes,half_width_m,pop_reachable,pop_straightline,pop_reach_ratio
genova_0024,Scuola primaria G. Embriaco,5,40.0,1521.8946431064605,5633.45736495018,0.2701528643094505
genova_0025,Scuola Materna San Bernardo,5,40.0,1188.2158931350707,4860.418672957346,0.2444678068056419
genova_0026,,5,40.0,1121.3199352264403,7508.338558516372,0.14934328366887203
genova_0027,Asilo nido comunale Cantaegua,5,40.0,330.29907299995426,1603.814630817395,0.2059459158516437
genova_0028,Scuola dell'infanzia Comunale Maddalena,5,40.0,3919.15880191803,7553.125525488854,0.5188790771042262
genova_0029,Scuola elementare (primaria) - Paritaria N.S. del Monte,5,40.0,3527.2036776733394,8987.321803111732,0.3924643798169211
genova_0030,Scuola materna (dell'infanzia) - Paritaria Nostra Signora del Monte,5,40.0,3503.6759072113036,8930.249451939613,0.3923379661528178
genova_0031,Scuola primaria dieci dicembre,5,40.0,2594.0940062069894,10049.126264344417,0.2581412490965673
genova_0032,Scuola Primaria Giovanni Pascoli (succursale),5,40.0,2430.8813385772705,6206.09050451994,0.39169285991025143
genova_0033,Scuola Infanzia Primavera,5,40.0,1159.6685362625121,2224.275053954274,0.5213692138482943
genova_0034,Scuola Materna Comunale Tina Quaglia,5,40.0,433.5947778248787,4341.706785641909,0.09986735614177891
genova_0035,Scuola elementare di Stato Emilio Salgari,5,40.0,3820.7088208007813,11456.182899561525,0.33350626943525974
genova_0036,Gesù Nazareno,5,40.0,2257.1422474670408,7869.163580093383,0.2868338196929762
genova_0037,La vita è bella,5,40.0,391.2212779319286,4162.904091392756,0.09397797050881378
genova_0038,Giovanni Lombardo Radice,5,40.0,1039.4322019958497,6645.894818140268,0.15640214454773987
genova_0039,Scuola Primaria Aldo Moro,5,40.0,730.2625100040436,3067.983568686471,0.23802686476469587
genova_0040,Scuola primaria Edmondo De Amicis,5,40.0,258.33967582941057,2257.6519706929744,0.11442847665759331
genova_0041,Scuola per l'infanzia Peter Pan,5,40.0,868.7297808647156,4331.11014652729,0.2005790089548446
genova_0042,Scuola dell'infanzia Mimosa,5,40.0,330.29907299995426,1603.850186088603,0.20594135029872873
genova_0043,Scuola Materna Statale Felice Cavallotti,5,40.0,1776.552638283968,3751.4148821783065,0.4735686918351164
genova_0044,Scuola di infanzia Albero D'Oro,5,40.0,3951.932944469452,9758.420113666058,0.40497671738225505
genova_0045,Scuola infanzia Il Gabbiano,5,40.0,452.54122247785335,1506.5097619667556,0.3003905012119262
genova_0046,Asilo Nido Comunale Il Girasole,5,40.0,3255.213524799347,9662.835360326768,0.3368797463076371
genova_0047,Micronido Pratorotondo,5,40.0,3009.904113788977,8915.37897720864,0.33760809512231893
genova_0048,Asilo Nido Lo Scoiattolo,5,40.0,2884.942870130539,5438.578215008974,0.5304590200006489
genova_0049,Asilo Nido Nati sotto al cavolo,5,40.0,1515.2337929439545,7666.000179271698,0.19765637327286212
genova_0050,,5,40.0,1176.4864486250283,5169.137237322331,0.22759822280022515
genova_0051,Asilo Infantile Borgopila,5,40.0,2220.6466309517623,5360.127489648461,0.41428989053717474
genova_0052,Scuola Elementare G.B. Perasso,5,40.0,723.1213862609862,5155.226510188878,0.14026956620272588
genova_0053,Scuola Materna San Martino d'Albaro,5,40.0,723.1213862609862,5227.196988721192,0.13833826959674125
genova_0054,Istituto Paritario Maria Ausiliatrice,5,40.0,6449.7330718803405,12021.060718517303,0.5365361030033846
genova_0055,Istituto Suore dell'Immacolata,5,40.0,1750.471519079208,4049.3612547039984,0.43228336741893497
genova_0056,Scuola materna comunale Maria Mazzini,5,40.0,2930.694530801265,6748.858473027016,0.4342504058300073
genova_0057,Scuola Materna Suore Medee,5,40.0,2897.507643470764,8262.51743508339,0.3506809717783695
genova_0058,Istituto Champagnat,5,40.0,1205.5028002548218,4595.7920542049405,0.26230577581329895
genova_0059,Asilo Nido Comunale Centofiori,5,40.0,1159.6685362625121,2259.132801833302,0.5133246417923873
genova_0060,Asilo nido Casetta degli Orsacchiotti,5,40.0,227.83197734662798,2774.820819529863,0.0821069150638813
genova_0061,Scuola Infanzia Chighizola,5,40.0,1311.4348458385466,3968.7271389293674,0.33044217955289534
genova_0062,Scuola elementare Papa Giovanni XXIII,5,40.0,1109.6806765747071,12920.412199020386,0.08588585716010223
genova_0063,Asilo L'Aquilone,5,40.0,1606.4683065795898,4113.787331255675,0.390508350875114
genova_0064,Scuola Materna Suore figlie di San Giuseppe,5,40.0,1582.2466606521605,3954.1901499783994,0.40014430278746305
genova_0065,Scuola Primaria Ada Negri,5,40.0,1451.6255676460266,5610.684337196239,0.25872522501799317
genova_0066,Scuola Materna Viale Modugno 18,5,40.0,1138.8736174583435,5727.227474231013,0.19885252027836706
genova_0067,Scuola Materna Venerabile Maria Cristina,5,40.0,76.75319348584686,117.59744975338748,0.6526773637251937
genova_0068,Deledda International School,5,40.0,873.0659279862791,3337.4232118573973,0.26159880619407155
genova_0069,Scuola superiore di primo grado Don Milani - Colombo,5,40.0,1149.0514063262938,5995.522669360638,0.19165158230463808
genova_0070,Scuola dell'infanzia Comunale San Luigi,5,40.0,1297.3899284124373,5744.4036453509325,0.22585284887882878
genova_0071,Scuola Materna elementare suore Benedettine della provvidenza,5,40.0,400.7991133880615,2733.332623099089,0.1466338600728477
genova_0072,Scuola Infanzia Emma Valle,5,40.0,1713.6921996688843,4196.565167195797,0.4083559128462188
genova_0073,Asilo Nido Mongolfiera,5,40.0,3799.3527622938154,7782.924653288125,0.48816517331806203
genova_0074,Scuola Infanzia Firpo,5,40.0,3536.9724727630614,7979.247153427601,0.4432714521499317
genova_0075,Scuola infanzia San Fruttuoso,5,40.0,2505.118708906173,6253.540281739235,0.40059208001286745
genova_0076,Scuola dell'infanzia Monticelli,5,40.0,2444.6558097457882,9681.21160381317,0.2525154815108993
genova_0077,,5,40.0,1243.8864949798583,5304.495317423147,0.2344966713221875
genova_0078,Asilo Nido Le Giuggiole,5,40.0,966.802887570858,2550.4521095395094,0.3790711787744239
genova_0079,Scuola dell'infanzia Jean Piaget,5,40.0,2007.0327497291566,6194.273660110235,0.32401422020696435
genova_0080,Scuola elementare Domenico Ferrero,5,40.0,3590.1842101860047,6750.8568064725405,0.5318116371160224
genova_0081,Scuola elementare (primaria) - Paritaria Contubernio D'Albertis,5,40.0,4337.611545639038,11224.324142492114,0.3864474591586382
genova_0082,ISFORCOOP,5,40.0,4620.658013455867,8728.951911685466,0.5293485472488607
genova_0083,,5,40.0,1195.3093404769897,4809.849872005432,0.24851281688312116
genova_0084,Istituto Eugenia Ravasco,5,40.0,1484.6136462593079,4660.041441631019,0.3185837861861786
